epoch,val_accuracy,step,train_loss
0,0.39441820979118347,0,
0,,49,3.810253143310547
0,0.3999873101711273,79,
0,,99,3.513923406600952
0,,149,3.5010533332824707
0,0.3332233726978302,159,
0,,199,3.496082305908203
0,0.4716036021709442,239,
0,,249,3.5014255046844482
0,,299,3.491457939147949
0,0.49619176983833313,319,
1,,349,3.493454694747925
1,,399,3.4942781925201416
1,0.5136802792549133,399,
2,0.5136803388595581,400,
